prolific_id,object,colour,typicality,object_en,colour_en
53c3b85bfdf99b5098c22fe7,Kirsche,lila,0,cherry,lilac
53c3b85bfdf99b5098c22fe7,Kirsche,rot,100,cherry,red
53c3b85bfdf99b5098c22fe7,Mandarine,blau,0,mandarine,blue
53c3b85bfdf99b5098c22fe7,Mandarine,gruen,15,mandarine,green
53c3b85bfdf99b5098c22fe7,Mandarine,lila,0,mandarine,lilac
53c3b85bfdf99b5098c22fe7,Mandarine,orange,100,mandarine,orange
53c3b85bfdf99b5098c22fe7,Mandarine,rot,48,mandarine,red
53c3b85bfdf99b5098c22fe7,Moehre,blau,0,carrots,blue
53c3b85bfdf99b5098c22fe7,Moehre,gruen,2,carrots,green
53c3b85bfdf99b5098c22fe7,Moehre,lila,4,carrots,lilac
53c3b85bfdf99b5098c22fe7,Moehre,orange,100,carrots,orange
53c3b85bfdf99b5098c22fe7,Moehre,rot,58,carrots,red
53c3b85bfdf99b5098c22fe7,Paprika,blau,0,pepper,blue
53c3b85bfdf99b5098c22fe7,Paprika,braun,0,pepper,brown
53c3b85bfdf99b5098c22fe7,Paprika,gruen,52,pepper,green
53c3b85bfdf99b5098c22fe7,Paprika,rot,100,pepper,red
53c3b85bfdf99b5098c22fe7,Paprika,schwarz,0,pepper,black
53c3b85bfdf99b5098c22fe7,Socken,blau,73,socks,blue
53c3b85bfdf99b5098c22fe7,Socken,braun,78,socks,brown
53c3b85bfdf99b5098c22fe7,Socken,gelb,50,socks,yellow
53c3b85bfdf99b5098c22fe7,Socken,grau,94,socks,gray
53c3b85bfdf99b5098c22fe7,Socken,gruen,65,socks,green
53c3b85bfdf99b5098c22fe7,Socken,lila,62,socks,lilac
53c3b85bfdf99b5098c22fe7,Socken,orange,59,socks,orange
53c3b85bfdf99b5098c22fe7,Socken,rot,63,socks,red
53c3b85bfdf99b5098c22fe7,Socken,schwarz,74,socks,black
53c3b85bfdf99b5098c22fe7,Sonnenbrille,blau,76,suglasses,blue
53c3b85bfdf99b5098c22fe7,Sonnenbrille,braun,51,suglasses,brown
53c3b85bfdf99b5098c22fe7,Sonnenbrille,gelb,82,suglasses,yellow
53c3b85bfdf99b5098c22fe7,Sonnenbrille,grau,87,suglasses,gray
53c3b85bfdf99b5098c22fe7,Sonnenbrille,gruen,79,suglasses,green
53c3b85bfdf99b5098c22fe7,Sonnenbrille,lila,85,suglasses,lilac
53c3b85bfdf99b5098c22fe7,Sonnenbrille,orange,70,suglasses,orange
53c3b85bfdf99b5098c22fe7,Sonnenbrille,rot,77,suglasses,red
53c3b85bfdf99b5098c22fe7,Sonnenbrille,schwarz,98,suglasses,black
53c3b85bfdf99b5098c22fe7,Tomate,blau,0,tomato,blue
53c3b85bfdf99b5098c22fe7,Tomate,gelb,57,tomato,yellow
53c3b85bfdf99b5098c22fe7,Tomate,gruen,47,tomato,green
53c3b85bfdf99b5098c22fe7,Tomate,lila,8,tomato,lilac
53c3b85bfdf99b5098c22fe7,Tomate,rot,100,tomato,red
53c3b85bfdf99b5098c22fe7,Trauben,blau,70,grapes,blue
53c3b85bfdf99b5098c22fe7,Trauben,gelb,7,grapes,yellow
53c3b85bfdf99b5098c22fe7,Trauben,grau,50,grapes,gray
53c3b85bfdf99b5098c22fe7,Trauben,orange,14,grapes,orange
53c3b85bfdf99b5098c22fe7,Trauben,schwarz,100,grapes,black
53c3b85bfdf99b5098c22fe7,Waescheklammer,blau,54,clothes.peg,blue
53c3b85bfdf99b5098c22fe7,Waescheklammer,braun,0,clothes.peg,brown
53c3b85bfdf99b5098c22fe7,Waescheklammer,gelb,76,clothes.peg,yellow
53c3b85bfdf99b5098c22fe7,Waescheklammer,grau,44,clothes.peg,gray
53c3b85bfdf99b5098c22fe7,Waescheklammer,gruen,61,clothes.peg,green
53c3b85bfdf99b5098c22fe7,Waescheklammer,lila,58,clothes.peg,lilac
53c3b85bfdf99b5098c22fe7,Waescheklammer,orange,56,clothes.peg,orange
53c3b85bfdf99b5098c22fe7,Waescheklammer,rot,63,clothes.peg,red
53c3b85bfdf99b5098c22fe7,Waescheklammer,schwarz,53,clothes.peg,black
53c3b85bfdf99b5098c22fe7,Walnuss,blau,1,walnut,blue
53c3b85bfdf99b5098c22fe7,Walnuss,braun,100,walnut,brown
53c3b85bfdf99b5098c22fe7,Walnuss,gelb,19,walnut,yellow
53c3b85bfdf99b5098c22fe7,Walnuss,gruen,0,walnut,green
53c3b85bfdf99b5098c22fe7,Walnuss,rot,4,walnut,red
53c3b85bfdf99b5098c22fe7,Zitrone,blau,0,lemon,blue
53c3b85bfdf99b5098c22fe7,Zitrone,gelb,100,lemon,yellow
53c3b85bfdf99b5098c22fe7,Zitrone,gruen,24,lemon,green
53c3b85bfdf99b5098c22fe7,Zitrone,orange,25,lemon,orange
53c3b85bfdf99b5098c22fe7,Zitrone,rot,0,lemon,red
53c3b85bfdf99b5098c22fe7,Zucchini,blau,0,courgettes,blue
53c3b85bfdf99b5098c22fe7,Zucchini,braun,10,courgettes,brown
53c3b85bfdf99b5098c22fe7,Zucchini,gelb,39,courgettes,yellow
53c3b85bfdf99b5098c22fe7,Zucchini,gruen,100,courgettes,green
53c3b85bfdf99b5098c22fe7,Zucchini,rot,0,courgettes,red
54229310fdf99b7732b92a9a,Ananas,blau,0,pineapple,blue
54229310fdf99b7732b92a9a,Ananas,braun,100,pineapple,brown
54229310fdf99b7732b92a9a,Ananas,gruen,0,pineapple,green
54229310fdf99b7732b92a9a,Ananas,lila,0,pineapple,lilac
54229310fdf99b7732b92a9a,Ananas,rot,7,pineapple,red
54229310fdf99b7732b92a9a,Aprikose,blau,0,apricot,blue
54229310fdf99b7732b92a9a,Aprikose,gelb,100,apricot,yellow
54229310fdf99b7732b92a9a,Aprikose,gruen,10,apricot,green
54229310fdf99b7732b92a9a,Aprikose,lila,0,apricot,lilac
54229310fdf99b7732b92a9a,Aprikose,rot,19,apricot,red
54229310fdf99b7732b92a9a,Aubergine,blau,7,aubergine,blue
54229310fdf99b7732b92a9a,Aubergine,gelb,9,aubergine,yellow
54229310fdf99b7732b92a9a,Aubergine,gruen,4,aubergine,green
54229310fdf99b7732b92a9a,Aubergine,rot,7,aubergine,red
54229310fdf99b7732b92a9a,Aubergine,schwarz,100,aubergine,black
54229310fdf99b7732b92a9a,Avocado,blau,0,avocado,blue
54229310fdf99b7732b92a9a,Avocado,gelb,23,avocado,yellow
54229310fdf99b7732b92a9a,Avocado,gruen,100,avocado,green
54229310fdf99b7732b92a9a,Avocado,lila,0,avocado,lilac
54229310fdf99b7732b92a9a,Avocado,rot,0,avocado,red
54229310fdf99b7732b92a9a,Banane,blau,0,banana,blue
54229310fdf99b7732b92a9a,Banane,braun,0,banana,brown
54229310fdf99b7732b92a9a,Banane,gelb,100,banana,yellow
54229310fdf99b7732b92a9a,Banane,gruen,20,banana,green
54229310fdf99b7732b92a9a,Banane,rot,0,banana,red
54229310fdf99b7732b92a9a,Birne,blau,0,pear,blue
54229310fdf99b7732b92a9a,Birne,gruen,100,pear,green
54229310fdf99b7732b92a9a,Birne,lila,0,pear,lilac
54229310fdf99b7732b92a9a,Birne,orange,10,pear,orange
54229310fdf99b7732b92a9a,Birne,rot,0,pear,red
54229310fdf99b7732b92a9a,Bohnen,blau,0,beans,blue
54229310fdf99b7732b92a9a,Bohnen,gelb,0,beans,yellow
54229310fdf99b7732b92a9a,Bohnen,gruen,100,beans,green
54229310fdf99b7732b92a9a,Bohnen,orange,0,beans,orange
54229310fdf99b7732b92a9a,Bohnen,rot,0,beans,red
54229310fdf99b7732b92a9a,Bueroklammer,blau,19,paper.clip,blue
54229310fdf99b7732b92a9a,Bueroklammer,braun,40,paper.clip,brown
54229310fdf99b7732b92a9a,Bueroklammer,gelb,56,paper.clip,yellow
54229310fdf99b7732b92a9a,Bueroklammer,grau,72,paper.clip,gray
54229310fdf99b7732b92a9a,Bueroklammer,gruen,58,paper.clip,green
54229310fdf99b7732b92a9a,Bueroklammer,lila,33,paper.clip,lilac
54229310fdf99b7732b92a9a,Bueroklammer,orange,61,paper.clip,orange
54229310fdf99b7732b92a9a,Bueroklammer,rot,19,paper.clip,red
54229310fdf99b7732b92a9a,Bueroklammer,schwarz,78,paper.clip,black
54229310fdf99b7732b92a9a,Erbsen,blau,1,peas,blue
54229310fdf99b7732b92a9a,Erbsen,gelb,0,peas,yellow
54229310fdf99b7732b92a9a,Erbsen,gruen,100,peas,green
54229310fdf99b7732b92a9a,Erbsen,orange,0,peas,orange
54229310fdf99b7732b92a9a,Erbsen,rot,0,peas,red
54229310fdf99b7732b92a9a,Erdbeere,blau,0,strawberry,blue
54229310fdf99b7732b92a9a,Erdbeere,gelb,26,strawberry,yellow
54229310fdf99b7732b92a9a,Erdbeere,grau,0,strawberry,gray
54229310fdf99b7732b92a9a,Erdbeere,lila,0,strawberry,lilac
54229310fdf99b7732b92a9a,Erdbeere,rot,100,strawberry,red
54229310fdf99b7732b92a9a,Gurke,blau,0,cucumber,blue
54229310fdf99b7732b92a9a,Gurke,braun,0,cucumber,brown
54229310fdf99b7732b92a9a,Gurke,gelb,69,cucumber,yellow
54229310fdf99b7732b92a9a,Gurke,gruen,100,cucumber,green
54229310fdf99b7732b92a9a,Gurke,rot,0,cucumber,red
54229310fdf99b7732b92a9a,Kartoffeln,blau,0,potatoes,blue
54229310fdf99b7732b92a9a,Kartoffeln,braun,100,potatoes,brown
54229310fdf99b7732b92a9a,Kartoffeln,gruen,0,potatoes,green
54229310fdf99b7732b92a9a,Kartoffeln,orange,0,potatoes,orange
54229310fdf99b7732b92a9a,Kartoffeln,rot,0,potatoes,red
54229310fdf99b7732b92a9a,Kirsche,blau,0,cherry,blue
54229310fdf99b7732b92a9a,Kirsche,gelb,0,cherry,yellow
54229310fdf99b7732b92a9a,Kirsche,gruen,0,cherry,green
54229310fdf99b7732b92a9a,Kirsche,lila,0,cherry,lilac
54229310fdf99b7732b92a9a,Kirsche,rot,100,cherry,red
54229310fdf99b7732b92a9a,Mandarine,blau,0,mandarine,blue
54229310fdf99b7732b92a9a,Mandarine,gruen,0,mandarine,green
54229310fdf99b7732b92a9a,Mandarine,lila,0,mandarine,lilac
54229310fdf99b7732b92a9a,Mandarine,orange,100,mandarine,orange
54229310fdf99b7732b92a9a,Mandarine,rot,16,mandarine,red
54229310fdf99b7732b92a9a,Moehre,blau,0,carrots,blue
54229310fdf99b7732b92a9a,Moehre,gruen,0,carrots,green
54229310fdf99b7732b92a9a,Moehre,lila,35,carrots,lilac
54229310fdf99b7732b92a9a,Moehre,orange,100,carrots,orange
54229310fdf99b7732b92a9a,Moehre,rot,31,carrots,red
54229310fdf99b7732b92a9a,Paprika,blau,0,pepper,blue
54229310fdf99b7732b92a9a,Paprika,braun,0,pepper,brown
54229310fdf99b7732b92a9a,Paprika,gruen,78,pepper,green
54229310fdf99b7732b92a9a,Paprika,rot,100,pepper,red
54229310fdf99b7732b92a9a,Paprika,schwarz,0,pepper,black
54229310fdf99b7732b92a9a,Socken,blau,73,socks,blue
54229310fdf99b7732b92a9a,Socken,braun,91,socks,brown
54229310fdf99b7732b92a9a,Socken,gelb,39,socks,yellow
54229310fdf99b7732b92a9a,Socken,grau,98,socks,gray
54229310fdf99b7732b92a9a,Socken,gruen,70,socks,green
54229310fdf99b7732b92a9a,Socken,lila,74,socks,lilac
54229310fdf99b7732b92a9a,Socken,orange,63,socks,orange
54229310fdf99b7732b92a9a,Socken,rot,78,socks,red
54229310fdf99b7732b92a9a,Socken,schwarz,95,socks,black
54229310fdf99b7732b92a9a,Sonnenbrille,blau,84,suglasses,blue
54229310fdf99b7732b92a9a,Sonnenbrille,braun,73,suglasses,brown
54229310fdf99b7732b92a9a,Sonnenbrille,gelb,74,suglasses,yellow
54229310fdf99b7732b92a9a,Sonnenbrille,grau,97,suglasses,gray
54229310fdf99b7732b92a9a,Sonnenbrille,gruen,63,suglasses,green
54229310fdf99b7732b92a9a,Sonnenbrille,lila,65,suglasses,lilac
54229310fdf99b7732b92a9a,Sonnenbrille,orange,73,suglasses,orange
54229310fdf99b7732b92a9a,Sonnenbrille,rot,79,suglasses,red
54229310fdf99b7732b92a9a,Sonnenbrille,schwarz,100,suglasses,black
54229310fdf99b7732b92a9a,Tomate,blau,0,tomato,blue
54229310fdf99b7732b92a9a,Tomate,gelb,63,tomato,yellow
54229310fdf99b7732b92a9a,Tomate,gruen,0,tomato,green
54229310fdf99b7732b92a9a,Tomate,lila,8,tomato,lilac
54229310fdf99b7732b92a9a,Tomate,rot,100,tomato,red
54229310fdf99b7732b92a9a,Trauben,blau,67,grapes,blue
54229310fdf99b7732b92a9a,Trauben,gelb,22,grapes,yellow
54229310fdf99b7732b92a9a,Trauben,grau,13,grapes,gray
54229310fdf99b7732b92a9a,Trauben,orange,0,grapes,orange
54229310fdf99b7732b92a9a,Trauben,schwarz,100,grapes,black
54229310fdf99b7732b92a9a,Waescheklammer,blau,83,clothes.peg,blue
54229310fdf99b7732b92a9a,Waescheklammer,braun,80,clothes.peg,brown
54229310fdf99b7732b92a9a,Waescheklammer,gelb,64,clothes.peg,yellow
54229310fdf99b7732b92a9a,Waescheklammer,grau,79,clothes.peg,gray
54229310fdf99b7732b92a9a,Waescheklammer,gruen,86,clothes.peg,green
54229310fdf99b7732b92a9a,Waescheklammer,lila,74,clothes.peg,lilac
54229310fdf99b7732b92a9a,Waescheklammer,orange,62,clothes.peg,orange
54229310fdf99b7732b92a9a,Waescheklammer,rot,88,clothes.peg,red
54229310fdf99b7732b92a9a,Waescheklammer,schwarz,28,clothes.peg,black
54229310fdf99b7732b92a9a,Walnuss,blau,0,walnut,blue
54229310fdf99b7732b92a9a,Walnuss,braun,100,walnut,brown
54229310fdf99b7732b92a9a,Walnuss,gelb,0,walnut,yellow
54229310fdf99b7732b92a9a,Walnuss,gruen,0,walnut,green
54229310fdf99b7732b92a9a,Walnuss,rot,0,walnut,red
54229310fdf99b7732b92a9a,Zitrone,blau,0,lemon,blue
54229310fdf99b7732b92a9a,Zitrone,gelb,100,lemon,yellow
54229310fdf99b7732b92a9a,Zitrone,gruen,2,lemon,green
54229310fdf99b7732b92a9a,Zitrone,orange,0,lemon,orange
54229310fdf99b7732b92a9a,Zitrone,rot,0,lemon,red
54229310fdf99b7732b92a9a,Zucchini,blau,0,courgettes,blue
54229310fdf99b7732b92a9a,Zucchini,braun,0,courgettes,brown
54229310fdf99b7732b92a9a,Zucchini,gelb,0,courgettes,yellow
54229310fdf99b7732b92a9a,Zucchini,gruen,100,courgettes,green
54229310fdf99b7732b92a9a,Zucchini,rot,0,courgettes,red
556958d1fdf99b7af5d5b21a,Ananas,blau,0,pineapple,blue
556958d1fdf99b7af5d5b21a,Ananas,braun,100,pineapple,brown
556958d1fdf99b7af5d5b21a,Ananas,gruen,0,pineapple,green
556958d1fdf99b7af5d5b21a,Ananas,lila,0,pineapple,lilac
556958d1fdf99b7af5d5b21a,Ananas,rot,0,pineapple,red
556958d1fdf99b7af5d5b21a,Aprikose,blau,0,apricot,blue
556958d1fdf99b7af5d5b21a,Aprikose,gelb,100,apricot,yellow
556958d1fdf99b7af5d5b21a,Aprikose,gruen,53,apricot,green
556958d1fdf99b7af5d5b21a,Aprikose,lila,0,apricot,lilac
556958d1fdf99b7af5d5b21a,Aprikose,rot,0,apricot,red
556958d1fdf99b7af5d5b21a,Aubergine,blau,63,aubergine,blue
556958d1fdf99b7af5d5b21a,Aubergine,gelb,58,aubergine,yellow
556958d1fdf99b7af5d5b21a,Aubergine,gruen,60,aubergine,green
556958d1fdf99b7af5d5b21a,Aubergine,rot,0,aubergine,red
556958d1fdf99b7af5d5b21a,Aubergine,schwarz,100,aubergine,black
556958d1fdf99b7af5d5b21a,Avocado,blau,0,avocado,blue
556958d1fdf99b7af5d5b21a,Avocado,gelb,2,avocado,yellow
556958d1fdf99b7af5d5b21a,Avocado,gruen,100,avocado,green
556958d1fdf99b7af5d5b21a,Avocado,lila,0,avocado,lilac
556958d1fdf99b7af5d5b21a,Avocado,rot,0,avocado,red
556958d1fdf99b7af5d5b21a,Banane,blau,0,banana,blue
556958d1fdf99b7af5d5b21a,Banane,braun,64,banana,brown
556958d1fdf99b7af5d5b21a,Banane,gelb,100,banana,yellow
556958d1fdf99b7af5d5b21a,Banane,gruen,0,banana,green
556958d1fdf99b7af5d5b21a,Banane,rot,0,banana,red
556958d1fdf99b7af5d5b21a,Birne,blau,0,pear,blue
556958d1fdf99b7af5d5b21a,Birne,gruen,97,pear,green
556958d1fdf99b7af5d5b21a,Birne,lila,0,pear,lilac
556958d1fdf99b7af5d5b21a,Birne,orange,58,pear,orange
556958d1fdf99b7af5d5b21a,Birne,rot,0,pear,red
556958d1fdf99b7af5d5b21a,Bohnen,blau,0,beans,blue
556958d1fdf99b7af5d5b21a,Bohnen,gelb,84,beans,yellow
556958d1fdf99b7af5d5b21a,Bohnen,gruen,100,beans,green
556958d1fdf99b7af5d5b21a,Bohnen,orange,24,beans,orange
556958d1fdf99b7af5d5b21a,Bohnen,rot,0,beans,red
556958d1fdf99b7af5d5b21a,Bueroklammer,blau,77,paper.clip,blue
556958d1fdf99b7af5d5b21a,Bueroklammer,braun,60,paper.clip,brown
556958d1fdf99b7af5d5b21a,Bueroklammer,gelb,65,paper.clip,yellow
556958d1fdf99b7af5d5b21a,Bueroklammer,grau,100,paper.clip,gray
556958d1fdf99b7af5d5b21a,Bueroklammer,gruen,66,paper.clip,green
556958d1fdf99b7af5d5b21a,Bueroklammer,lila,72,paper.clip,lilac
556958d1fdf99b7af5d5b21a,Bueroklammer,orange,80,paper.clip,orange
556958d1fdf99b7af5d5b21a,Bueroklammer,rot,71,paper.clip,red
556958d1fdf99b7af5d5b21a,Bueroklammer,schwarz,79,paper.clip,black
556958d1fdf99b7af5d5b21a,Erbsen,blau,4,peas,blue
556958d1fdf99b7af5d5b21a,Erbsen,gelb,56,peas,yellow
556958d1fdf99b7af5d5b21a,Erbsen,gruen,100,peas,green
556958d1fdf99b7af5d5b21a,Erbsen,orange,19,peas,orange
556958d1fdf99b7af5d5b21a,Erbsen,rot,6,peas,red
556958d1fdf99b7af5d5b21a,Erdbeere,blau,0,strawberry,blue
556958d1fdf99b7af5d5b21a,Erdbeere,gelb,56,strawberry,yellow
556958d1fdf99b7af5d5b21a,Erdbeere,grau,56,strawberry,gray
556958d1fdf99b7af5d5b21a,Erdbeere,lila,0,strawberry,lilac
556958d1fdf99b7af5d5b21a,Erdbeere,rot,100,strawberry,red
556958d1fdf99b7af5d5b21a,Gurke,blau,0,cucumber,blue
556958d1fdf99b7af5d5b21a,Gurke,braun,24,cucumber,brown
556958d1fdf99b7af5d5b21a,Gurke,gelb,58,cucumber,yellow
556958d1fdf99b7af5d5b21a,Gurke,gruen,100,cucumber,green
556958d1fdf99b7af5d5b21a,Gurke,rot,0,cucumber,red
556958d1fdf99b7af5d5b21a,Kartoffeln,blau,63,potatoes,blue
556958d1fdf99b7af5d5b21a,Kartoffeln,braun,100,potatoes,brown
556958d1fdf99b7af5d5b21a,Kartoffeln,gruen,23,potatoes,green
556958d1fdf99b7af5d5b21a,Kartoffeln,orange,76,potatoes,orange
556958d1fdf99b7af5d5b21a,Kartoffeln,rot,60,potatoes,red
556958d1fdf99b7af5d5b21a,Kirsche,blau,0,cherry,blue
556958d1fdf99b7af5d5b21a,Kirsche,gelb,27,cherry,yellow
556958d1fdf99b7af5d5b21a,Kirsche,gruen,0,cherry,green
556958d1fdf99b7af5d5b21a,Kirsche,lila,0,cherry,lilac
556958d1fdf99b7af5d5b21a,Kirsche,rot,100,cherry,red
556958d1fdf99b7af5d5b21a,Mandarine,blau,0,mandarine,blue
556958d1fdf99b7af5d5b21a,Mandarine,gruen,57,mandarine,green
556958d1fdf99b7af5d5b21a,Mandarine,lila,0,mandarine,lilac
556958d1fdf99b7af5d5b21a,Mandarine,orange,100,mandarine,orange
556958d1fdf99b7af5d5b21a,Mandarine,rot,0,mandarine,red
556958d1fdf99b7af5d5b21a,Moehre,blau,0,carrots,blue
556958d1fdf99b7af5d5b21a,Moehre,gruen,0,carrots,green
556958d1fdf99b7af5d5b21a,Moehre,lila,0,carrots,lilac
556958d1fdf99b7af5d5b21a,Moehre,orange,100,carrots,orange
556958d1fdf99b7af5d5b21a,Moehre,rot,57,carrots,red
556958d1fdf99b7af5d5b21a,Paprika,blau,0,pepper,blue
556958d1fdf99b7af5d5b21a,Paprika,braun,66,pepper,brown
556958d1fdf99b7af5d5b21a,Paprika,gruen,100,pepper,green
556958d1fdf99b7af5d5b21a,Paprika,rot,99,pepper,red
556958d1fdf99b7af5d5b21a,Paprika,schwarz,29,pepper,black
556958d1fdf99b7af5d5b21a,Socken,blau,68,socks,blue
556958d1fdf99b7af5d5b21a,Socken,braun,78,socks,brown
556958d1fdf99b7af5d5b21a,Socken,gelb,64,socks,yellow
556958d1fdf99b7af5d5b21a,Socken,grau,83,socks,gray
556958d1fdf99b7af5d5b21a,Socken,gruen,62,socks,green
556958d1fdf99b7af5d5b21a,Socken,lila,60,socks,lilac
556958d1fdf99b7af5d5b21a,Socken,orange,59,socks,orange
556958d1fdf99b7af5d5b21a,Socken,rot,78,socks,red
556958d1fdf99b7af5d5b21a,Socken,schwarz,100,socks,black
556958d1fdf99b7af5d5b21a,Sonnenbrille,blau,86,suglasses,blue
556958d1fdf99b7af5d5b21a,Sonnenbrille,braun,59,suglasses,brown
556958d1fdf99b7af5d5b21a,Sonnenbrille,gelb,78,suglasses,yellow
556958d1fdf99b7af5d5b21a,Sonnenbrille,grau,63,suglasses,gray
556958d1fdf99b7af5d5b21a,Sonnenbrille,gruen,60,suglasses,green
556958d1fdf99b7af5d5b21a,Sonnenbrille,lila,63,suglasses,lilac
556958d1fdf99b7af5d5b21a,Sonnenbrille,orange,66,suglasses,orange
556958d1fdf99b7af5d5b21a,Sonnenbrille,rot,77,suglasses,red
556958d1fdf99b7af5d5b21a,Sonnenbrille,schwarz,72,suglasses,black
556958d1fdf99b7af5d5b21a,Tomate,blau,0,tomato,blue
556958d1fdf99b7af5d5b21a,Tomate,gelb,70,tomato,yellow
556958d1fdf99b7af5d5b21a,Tomate,gruen,66,tomato,green
556958d1fdf99b7af5d5b21a,Tomate,lila,0,tomato,lilac
556958d1fdf99b7af5d5b21a,Tomate,rot,100,tomato,red
556958d1fdf99b7af5d5b21a,Trauben,blau,63,grapes,blue
556958d1fdf99b7af5d5b21a,Trauben,gelb,54,grapes,yellow
556958d1fdf99b7af5d5b21a,Trauben,grau,12,grapes,gray
556958d1fdf99b7af5d5b21a,Trauben,orange,5,grapes,orange
556958d1fdf99b7af5d5b21a,Trauben,schwarz,100,grapes,black
