team,es,se,fixed_1,fixed_2,fixed_3,fixed_4,fixed_5,random_1,random_2,random_3,random_4,random_5,posthoc,nmodels,fixed_num,random_num,reviewer,reviewer_assignment,reviewer_noise,peer_rating
team_8,0.6141673391910433,1.4762020749169902,0,0,1,1,0,1,1,0,0,1,0,5,2,3,rev15,team_8,-0.541377081293515,13.387559281741229
team_8,0.6141673391910433,1.4762020749169902,0,0,1,1,0,1,1,0,0,1,0,5,2,3,rev16,team_8,-0.0241411743645157,12.780156074390469
team_9,1.179863712172462,1.1082471753615146,0,0,0,1,0,0,0,1,0,1,0,6,1,2,rev4,team_9,-0.21627723950626465,4.078778143695258
team_9,1.179863712172462,1.1082471753615146,0,0,0,1,0,0,0,1,0,1,0,6,1,2,rev8,team_9,0.4374869981087483,58.10598012455564
team_9,1.179863712172462,1.1082471753615146,0,0,0,1,0,0,0,1,0,1,0,6,1,2,rev11,team_9,-0.3510340793064962,1.3963203388237204
team_10,1.528823020776858,0.31687675814558813,0,0,1,0,0,0,0,1,1,1,0,3,1,3,rev6,team_10,-0.20471800234758042,14.857041903151334
team_10,1.528823020776858,0.31687675814558813,0,0,1,0,0,0,0,1,1,1,0,3,1,3,rev11,team_10,-0.3510340793064962,0.8547828076297961
team_11,0.6620788355604277,1.163440044274855,1,0,1,0,1,1,0,0,1,0,0,5,3,2,rev1,team_11,-0.14014680020842654,2.963339254645792
team_11,0.6620788355604277,1.163440044274855,1,0,1,0,1,1,0,0,1,0,0,5,3,2,rev12,team_11,0.6348530007451884,36.07309926078371
team_11,0.6620788355604277,1.163440044274855,1,0,1,0,1,1,0,0,1,0,0,5,3,2,rev14,team_11,-0.2595721973093258,0.6136762882114439
team_12,3.71780937032034,1.2243129625921105,1,1,0,1,0,0,1,0,1,1,0,1,3,3,rev1,team_12,-0.14014680020842654,14.407457047592242
team_12,3.71780937032034,1.2243129625921105,1,1,0,1,0,0,1,0,1,1,0,1,3,3,rev2,team_12,-0.2663527864508589,4.333821299337849
team_12,3.71780937032034,1.2243129625921105,1,1,0,1,0,0,1,0,1,1,0,1,3,3,rev4,team_12,-0.21627723950626465,0.7101711150953367
team_12,3.71780937032034,1.2243129625921105,1,1,0,1,0,0,1,0,1,1,0,1,3,3,rev5,team_12,0.26923942160733644,6.936727176025498
team_12,3.71780937032034,1.2243129625921105,1,1,0,1,0,0,1,0,1,1,0,1,3,3,rev7,team_12,0.546054223686677,37.79039374454355
team_13,2.3115437967972223,0.6554598798042397,0,0,1,0,0,0,1,1,0,1,0,2,1,3,rev3,team_13,0.29785907323796296,3.6050013389538123
team_13,2.3115437967972223,0.6554598798042397,0,0,1,0,0,0,1,1,0,1,0,2,1,3,rev5,team_13,0.26923942160733644,6.527626732330057
team_13,2.3115437967972223,0.6554598798042397,0,0,1,0,0,0,1,1,0,1,0,2,1,3,rev7,team_13,0.546054223686677,32.319481173522604
team_13,2.3115437967972223,0.6554598798042397,0,0,1,0,0,0,1,1,0,1,0,2,1,3,rev8,team_13,0.4374869981087483,22.440684901848414
team_13,2.3115437967972223,0.6554598798042397,0,0,1,0,0,0,1,1,0,1,0,2,1,3,rev10,team_13,-0.2729358870225453,4.158373770185088
team_13,2.3115437967972223,0.6554598798042397,0,0,1,0,0,0,1,1,0,1,0,2,1,3,rev13,team_13,-0.12777949483242776,14.808216813117815
team_13,2.3115437967972223,0.6554598798042397,0,0,1,0,0,0,1,1,0,1,0,2,1,3,rev14,team_13,-0.2595721973093258,3.232218111042158
team_13,2.3115437967972223,0.6554598798042397,0,0,1,0,0,0,1,1,0,1,0,2,1,3,rev15,team_13,-0.541377081293515,6.183227486265221
team_14,0.7179747891166367,0.9544659412346123,0,0,0,1,1,0,0,0,1,0,1,2,2,1,rev9,team_14,0.12792029402371988,3.4934818801936394
team_15,1.0046920115647133,0.731608641002049,1,0,0,1,0,1,0,1,0,0,1,7,2,2,rev13,team_15,-0.12777949483242776,18.685729762151865
team_16,1.567525397881563,1.0557131847961756,1,0,1,1,1,0,1,1,0,0,0,3,4,2,rev2,team_16,-0.2663527864508589,0.7803037829308899
team_16,1.567525397881563,1.0557131847961756,1,0,1,1,1,0,1,1,0,0,0,3,4,2,rev3,team_16,0.29785907323796296,11.986246866261894
team_16,1.567525397881563,1.0557131847961756,1,0,1,1,1,0,1,1,0,0,0,3,4,2,rev9,team_16,0.12792029402371988,4.485147807729869
team_16,1.567525397881563,1.0557131847961756,1,0,1,1,1,0,1,1,0,0,0,3,4,2,rev12,team_16,0.6348530007451884,48.60238422016394
team_16,1.567525397881563,1.0557131847961756,1,0,1,1,1,0,1,1,0,0,0,3,4,2,rev14,team_16,-0.2595721973093258,2.472651249136593
team_16,1.567525397881563,1.0557131847961756,1,0,1,1,1,0,1,1,0,0,0,3,4,2,rev15,team_16,-0.541377081293515,1.9512997385650088
team_16,1.567525397881563,1.0557131847961756,1,0,1,1,1,0,1,1,0,0,0,3,4,2,rev16,team_16,-0.0241411743645157,29.291836297574992
